record_index,audit_id,label,scenario
153,155,0,normal_activity
154,156,0,normal_activity
155,157,0,normal_activity
156,158,0,normal_activity
157,159,0,normal_activity
158,160,0,admin_activity
159,161,0,admin_activity
160,162,0,normal_activity
161,163,0,normal_activity
162,164,0,normal_activity
163,165,0,admin_activity
164,166,0,normal_activity
165,167,0,normal_activity
166,168,0,normal_activity
167,169,0,normal_activity
168,170,0,normal_activity
169,171,0,normal_activity
170,172,0,normal_activity
171,173,0,admin_activity
172,174,0,normal_activity
173,175,0,normal_activity
174,176,0,normal_activity
175,177,0,admin_activity
176,178,0,normal_activity
177,179,0,normal_activity
178,180,0,normal_activity
179,181,0,normal_activity
180,182,0,normal_activity
181,183,0,normal_activity
182,184,0,normal_activity
183,185,0,normal_activity
184,186,0,normal_activity
185,187,0,normal_activity
186,188,0,normal_activity
187,189,0,normal_activity
188,190,0,normal_activity
189,191,0,normal_activity
190,192,0,successful_authentication
191,193,0,normal_activity
192,194,0,normal_activity
193,195,0,normal_activity
194,196,1,attack_activity
195,197,0,normal_activity
196,198,0,normal_activity
197,199,0,normal_activity
198,200,1,attack_activity
199,201,0,normal_activity
200,202,0,normal_activity
201,203,0,normal_activity
202,204,0,normal_activity
203,205,0,normal_activity
204,206,0,admin_activity
205,207,0,successful_authentication
206,208,0,normal_activity
207,209,0,normal_activity
208,210,0,normal_activity
209,211,0,normal_activity
210,212,0,admin_activity
211,213,0,normal_activity
212,214,0,normal_activity
213,215,0,normal_activity
214,216,0,admin_activity
215,217,0,normal_activity
216,218,0,normal_activity
217,219,0,normal_activity
218,220,0,normal_activity
219,221,0,normal_activity
220,222,0,normal_activity
221,223,0,normal_activity
222,224,0,successful_authentication
223,225,0,admin_activity
224,226,0,normal_activity
225,227,0,normal_activity
226,228,0,normal_activity
227,229,0,admin_activity
228,230,0,normal_activity
229,231,1,attack_activity
230,232,0,normal_activity
231,233,0,normal_activity
232,234,0,normal_activity
233,235,0,admin_activity
234,236,0,normal_activity
235,237,0,normal_activity
236,238,0,normal_activity
237,239,0,normal_activity
238,240,0,normal_activity
239,241,0,admin_activity
240,242,0,normal_activity
241,243,0,normal_activity
242,244,1,attack_activity
243,245,0,normal_activity
244,246,0,normal_activity
245,247,0,normal_activity
246,248,0,normal_activity
247,249,0,normal_activity
248,250,0,admin_activity
249,251,0,normal_activity
250,252,0,normal_activity
251,253,1,attack_activity
252,254,0,admin_activity
253,255,0,normal_activity
254,256,0,normal_activity
255,257,0,admin_activity
256,258,0,normal_activity
257,259,0,normal_activity
258,260,0,normal_activity
259,261,0,normal_activity
260,262,0,normal_activity
261,263,0,normal_activity
262,264,0,normal_activity
263,265,0,normal_activity
264,266,0,normal_activity
265,267,0,normal_activity
266,268,1,attack_activity
267,269,0,normal_activity
268,270,0,admin_activity
269,271,0,normal_activity
270,272,0,normal_activity
271,273,0,normal_activity
272,274,0,normal_activity
273,275,0,normal_activity
274,276,0,normal_activity
275,277,0,admin_activity
276,278,0,normal_activity
277,279,0,normal_activity
278,280,0,normal_activity
279,281,0,normal_activity
280,282,0,normal_activity
281,283,0,normal_activity
282,284,0,normal_activity
283,285,0,normal_activity
284,286,0,admin_activity
285,287,0,normal_activity
286,288,0,normal_activity
287,289,0,normal_activity
288,290,0,normal_activity
289,291,0,normal_activity
290,292,0,normal_activity
291,293,0,normal_activity
292,294,0,normal_activity
293,295,1,attack_activity
294,296,0,normal_activity
295,297,1,failed_authentication
296,298,0,normal_activity
297,299,0,normal_activity
298,300,0,normal_activity
299,301,0,normal_activity
300,302,0,normal_activity
301,303,0,normal_activity
302,304,0,normal_activity
303,305,0,normal_activity
304,306,0,normal_activity
305,307,0,normal_activity
306,308,0,normal_activity
307,309,0,normal_activity
308,310,0,normal_activity
309,311,0,normal_activity
310,312,0,admin_activity
311,313,0,normal_activity
312,314,0,successful_authentication
313,315,0,normal_activity
314,316,0,normal_activity
315,317,0,normal_activity
316,318,0,normal_activity
317,319,0,normal_activity
318,320,0,normal_activity
319,321,0,successful_authentication
320,322,0,admin_activity
321,323,0,normal_activity
322,324,1,failed_authentication
323,325,0,normal_activity
324,326,1,attack_activity
325,327,0,normal_activity
326,328,1,failed_authentication
327,329,0,successful_authentication
328,330,0,normal_activity
329,331,0,normal_activity
330,332,0,admin_activity
331,333,0,normal_activity
332,334,1,attack_activity
333,335,0,normal_activity
334,336,0,normal_activity
335,337,0,normal_activity
336,338,0,normal_activity
337,339,0,normal_activity
338,340,0,normal_activity
339,341,0,normal_activity
340,342,0,normal_activity
341,343,0,normal_activity
342,344,0,normal_activity
343,345,0,normal_activity
344,346,0,normal_activity
345,347,0,normal_activity
346,348,0,normal_activity
347,349,0,admin_activity
348,350,0,normal_activity
349,351,0,normal_activity
350,352,0,normal_activity
351,353,0,normal_activity
352,354,0,normal_activity
353,355,0,normal_activity
354,356,0,normal_activity
355,357,0,normal_activity
356,358,0,normal_activity
357,359,0,normal_activity
358,360,0,normal_activity
359,361,1,attack_activity
360,362,1,attack_activity
361,363,0,normal_activity
362,364,0,normal_activity
363,365,0,normal_activity
364,366,0,normal_activity
365,367,0,normal_activity
366,368,0,normal_activity
367,369,0,normal_activity
368,370,0,normal_activity
369,371,0,normal_activity
370,372,0,normal_activity
371,373,0,normal_activity
372,374,0,admin_activity
373,375,0,normal_activity
374,376,0,normal_activity
375,377,0,successful_authentication
376,378,0,normal_activity
377,379,0,normal_activity
378,380,0,normal_activity
379,381,0,normal_activity
380,382,0,normal_activity
381,383,0,normal_activity
382,384,1,attack_activity
383,385,0,admin_activity
384,386,0,normal_activity
385,387,0,normal_activity
386,388,0,admin_activity
387,389,0,normal_activity
388,390,0,normal_activity
389,391,0,normal_activity
390,392,0,normal_activity
391,393,0,normal_activity
392,394,0,admin_activity
393,395,0,normal_activity
394,396,0,normal_activity
395,397,0,normal_activity
396,398,0,normal_activity
397,399,0,admin_activity
398,400,0,normal_activity
399,401,1,attack_activity
400,402,0,normal_activity
401,403,0,normal_activity
402,404,0,normal_activity
403,405,0,normal_activity
404,406,0,normal_activity
405,407,0,normal_activity
406,408,0,normal_activity
407,409,0,admin_activity
408,410,0,admin_activity
409,411,0,normal_activity
410,412,0,normal_activity
411,413,0,normal_activity
412,414,0,normal_activity
413,415,0,normal_activity
414,416,0,normal_activity
415,417,0,normal_activity
416,418,0,normal_activity
417,419,0,normal_activity
418,420,1,attack_activity
419,421,0,normal_activity
420,422,0,normal_activity
421,423,0,admin_activity
422,424,0,normal_activity
423,425,0,normal_activity
424,426,0,admin_activity
425,427,0,normal_activity
426,428,1,attack_activity
427,429,0,normal_activity
428,430,0,normal_activity
429,431,0,normal_activity
430,432,0,normal_activity
431,433,0,normal_activity
432,434,0,normal_activity
433,435,0,normal_activity
434,436,0,normal_activity
435,437,0,admin_activity
436,438,0,normal_activity
437,439,0,normal_activity
438,440,0,normal_activity
439,441,0,normal_activity
440,442,0,normal_activity
441,443,0,normal_activity
442,444,0,normal_activity
443,445,0,normal_activity
444,446,0,admin_activity
445,447,0,normal_activity
446,448,0,normal_activity
447,449,0,normal_activity
448,450,0,normal_activity
449,451,0,normal_activity
450,452,0,normal_activity
451,453,0,normal_activity
452,454,0,normal_activity
453,455,0,admin_activity
454,456,0,normal_activity
455,457,0,normal_activity
456,458,0,normal_activity
457,459,0,normal_activity
458,460,0,normal_activity
459,461,0,normal_activity
460,462,0,normal_activity
461,463,0,normal_activity
462,464,0,normal_activity
463,465,0,normal_activity
464,466,0,normal_activity
465,467,0,normal_activity
466,468,0,normal_activity
467,469,0,normal_activity
468,470,0,normal_activity
469,471,0,normal_activity
470,472,0,normal_activity
471,473,0,admin_activity
472,474,0,normal_activity
473,475,0,normal_activity
474,476,0,normal_activity
475,477,0,admin_activity
476,478,0,normal_activity
477,479,0,normal_activity
478,480,0,normal_activity
479,481,0,normal_activity
480,482,0,admin_activity
481,483,0,admin_activity
482,484,0,normal_activity
483,485,0,normal_activity
484,486,0,successful_authentication
485,487,0,normal_activity
486,488,0,normal_activity
487,489,0,normal_activity
488,490,1,failed_authentication
489,491,0,normal_activity
490,492,0,normal_activity
491,493,0,normal_activity
492,494,0,normal_activity
493,495,1,attack_activity
494,496,0,admin_activity
495,497,0,normal_activity
496,498,1,attack_activity
497,499,0,normal_activity
498,500,0,normal_activity
499,501,0,normal_activity
500,502,0,admin_activity
501,503,0,normal_activity
502,504,0,normal_activity
503,505,0,normal_activity
504,506,0,admin_activity
505,507,0,normal_activity
506,508,0,normal_activity
507,509,0,normal_activity
508,510,1,attack_activity
509,511,0,normal_activity
510,512,1,failed_authentication
511,513,0,normal_activity
512,514,0,normal_activity
513,515,0,normal_activity
